id,area_code,outage_duration,broadband_type,outage_type,log_report_type,volume,transit_server_type,Bandwidth,Speed_var_over_dist
13366,area_415,1,ADSL2,outage_type_4,log_report_type_312,1,transit_server_type_35,2,1
6783,area_474,0,ADSL2,outage_type_2,log_report_type_312,2,transit_server_type_35,2,1
9519,area_931,1,ADSL1,outage_type_2,log_report_type_203,3,transit_server_type_15,1,1
10202,area_700,1,ADSL1,outage_type_1,log_report_type_54,1,transit_server_type_11,1,1
4555,area_600,2,ADSL1,outage_type_2,log_report_type_82,30,transit_server_type_15,1,1
5281,area_645,0,ADSL2,outage_type_1,log_report_type_284,273,transit_server_type_46,2,1
1872,area_576,0,ADSL1,outage_type_1,log_report_type_84,1,transit_server_type_11,1,1
8729,area_734,1,ADSL1,outage_type_1,log_report_type_203,2,transit_server_type_15,1,1
9312,area_326,0,ADSL2,outage_type_4,log_report_type_313,1,transit_server_type_35,2,1
14880,area_923,0,ADSL1,outage_type_1,log_report_type_195,1,transit_server_type_11,1,1
4558,area_122,0,ADSL2,outage_type_2,log_report_type_232,4,transit_server_type_34,2,1
16109,area_358,0,ADSL2,outage_type_4,log_report_type_309,1,transit_server_type_35,2,1
13381,area_471,0,ADSL2,outage_type_2,log_report_type_232,1,transit_server_type_34,2,1
1116,area_470,0,ADSL2,outage_type_1,log_report_type_219,4,transit_server_type_20,2,1
4246,area_282,0,ADSL2,outage_type_4,log_report_type_307,1,transit_server_type_35,2,1
6047,area_445,1,ADSL2,outage_type_2,log_report_type_232,1,transit_server_type_34,2,1
1373,area_962,2,ADSL1,outage_type_1,log_report_type_203,16,transit_server_type_15,1,1
4228,area_793,0,ADSL1,outage_type_1,log_report_type_195,18,transit_server_type_11,1,1
7301,area_846,1,ADSL1,outage_type_2,log_report_type_82,4,transit_server_type_15,1,1
1436,area_468,0,ADSL2,outage_type_2,log_report_type_307,3,transit_server_type_34,2,1
4849,area_476,0,ADSL2,outage_type_2,log_report_type_232,6,transit_server_type_35,2,1
397,area_737,1,ADSL1,outage_type_1,log_report_type_42,3,transit_server_type_11,1,1
1854,area_467,0,ADSL2,outage_type_4,log_report_type_312,1,transit_server_type_35,2,1
11936,area_445,0,ADSL2,outage_type_2,log_report_type_312,16,transit_server_type_34,2,1
4209,area_1086,2,ADSL1,outage_type_2,log_report_type_82,23,transit_server_type_15,1,1
5032,area_1015,1,ADSL1,outage_type_1,log_report_type_54,1,transit_server_type_11,1,1
988,area_945,0,ADSL1,outage_type_1,log_report_type_202,12,transit_server_type_11,1,1
7415,area_619,0,ADSL1,outage_type_1,log_report_type_170,3,transit_server_type_11,1,1
18290,area_373,0,ADSL2,outage_type_2,log_report_type_232,69,transit_server_type_34,2,1
15982,area_485,0,ADSL2,outage_type_2,log_report_type_312,17,transit_server_type_34,2,1
17822,area_625,1,ADSL2,outage_type_1,log_report_type_171,1,transit_server_type_11,2,1
12257,area_172,1,ADSL2,outage_type_2,log_report_type_307,1,transit_server_type_35,2,1
8984,area_976,2,ADSL1,outage_type_2,log_report_type_82,40,transit_server_type_15,1,1
6084,area_320,1,ADSL2,outage_type_2,log_report_type_312,1,transit_server_type_35,2,1
14361,area_704,2,ADSL1,outage_type_1,log_report_type_80,5,transit_server_type_15,1,1
12378,area_794,0,ADSL1,outage_type_1,log_report_type_163,2,transit_server_type_11,1,1
14181,area_645,0,ADSL2,outage_type_1,log_report_type_284,1,transit_server_type_47,2,1
12573,area_805,0,ADSL1,outage_type_1,log_report_type_191,2,transit_server_type_11,1,1
15461,area_769,0,ADSL1,outage_type_4,log_report_type_54,3,transit_server_type_11,1,1
12153,area_976,1,ADSL1,outage_type_1,log_report_type_203,6,transit_server_type_11,1,1
17450,area_880,0,ADSL1,outage_type_1,log_report_type_56,1,transit_server_type_11,1,1
7278,area_519,0,ADSL2,outage_type_2,log_report_type_312,8,transit_server_type_34,2,1
9107,area_393,0,ADSL2,outage_type_2,log_report_type_232,1,transit_server_type_34,2,1
